  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      1.5485             175  0.0000      0.0000     0.91685     0.20455      76.189    
rho and Delta         20.000      1.5273             772  0.0000      0.0000     0.52655     0.35879      2470.0    
Res dec               6.0000      3.0461           17331  0.0000      0.0000     0.88399     0.27994      19.137    
VM + stable in vac.   10.303      1.7814            1174  0.0000      27.002     0.95042     0.18017      3.7751    
NN -> NR              6.0000      1.2516              19  0.0000      0.0000     0.55714     0.40133      47.842    
NN -> DR              36.000     0.80463               1  0.0000      0.0000     0.80463      0.0000      10.000    
Default               4.0000      3.4004           11865  0.0000     0.42141E-01 0.94221     0.26890      14.227    

           Total number of events:        31337
  Overall average number of steps:   77.416    
