  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      1.9850             481  0.0000      0.0000     0.94415     0.18440      55.994    
rho and Delta         20.000      1.5968            1367  0.0000      0.0000     0.44391     0.35333      4176.4    
Res dec               6.0000      3.7751           31035  0.0000      0.0000     0.87484     0.29060      19.386    
VM + stable in vac.   12.204      3.0500            2258  0.0000      21.789     0.94080     0.19984      4.1789    
NN -> NR              6.0000      1.2566             124  0.0000      0.0000     0.52750     0.37880      77.992    
NN -> DR              36.000      1.9161              12  0.0000      0.0000     0.86475     0.44423      227.17    
KK* -> rho omega      70.000      1.0172               6  0.0000      0.0000     0.83619     0.25720      91.000    
KK* -> omega omega    40.000      1.0063               1  0.0000      0.0000      1.0063      0.0000      1.0000    
Default               4.0000      3.8996           44439  0.0000     0.11251E-01 0.93696     0.26664      11.140    

           Total number of events:        79723
  Overall average number of steps:   85.986    
