  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.1704             465  0.0000      0.0000     0.96795     0.19148      60.994    
rho and Delta         20.000      1.2794            1441  0.0000      0.0000     0.45185     0.36246      2734.6    
Res dec               6.0000      3.9576           31554  0.0000      0.0000     0.87570     0.29053      19.551    
VM + stable in vac.   12.514      2.1806            2338  0.0000      21.642     0.93067     0.20858      4.0958    
NN -> NR              6.0000      1.2530             136  0.0000      0.0000     0.50817     0.34849      62.272    
NN -> DR              36.000      1.2366              13  0.0000      0.0000     0.72461     0.33554      260.23    
KK* -> rho omega      70.000      1.0061               2  0.0000      0.0000      1.0026     0.34482E-02  364.50    
Default               4.0000      4.2750           45132 0.88629E-02 0.19942E-01 0.93508     0.27112      12.146    

           Total number of events:        81081
  Overall average number of steps:   63.594    
