  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      5.1233             586  0.0000      0.0000     0.95844     0.28815      49.805    
rho and Delta         20.000      1.5362            1506  0.0000      0.0000     0.44445     0.36069      2222.6    
Res dec               6.0000      4.1075           32743  0.0000      0.0000     0.87741     0.28807      19.553    
VM + stable in vac.   12.131      2.5663            2347  0.0000      19.088     0.92765     0.21788      4.0511    
NN -> NR              6.0000      1.2566             152  0.0000      0.0000     0.57345     0.39136      63.868    
NN -> DR              36.000      1.7337              20  0.0000      0.0000     0.93262     0.33842      106.85    
KK* -> rho omega      70.000      1.0318               6  0.0000      0.0000     0.96670     0.56272E-01  139.67    
Default               4.0000      4.9186           47349 0.42240E-02 0.16896E-01 0.93740     0.26776      10.530    

           Total number of events:        84709
  Overall average number of steps:   53.565    
