  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.0568             398  0.0000      0.0000     0.94557     0.21281      45.533    
rho and Delta         20.000      1.4110            1294  0.0000      0.0000     0.47065     0.36483      3547.2    
Res dec               6.0000      3.5937           28508  0.0000      0.0000     0.87311     0.28790      19.962    
VM + stable in vac.   11.154      3.4352            2240  0.0000      24.241     0.93383     0.21613      4.1183    
NN -> NR              6.0000      1.2530             127  0.0000      0.0000     0.52767     0.38414      62.795    
NN -> DR              36.000      1.1283              11  0.0000      0.0000     0.74459     0.30605      206.36    
Default               4.0000      4.7233           40026 0.49968E-02 0.74951E-02 0.93532     0.26636      11.326    

           Total number of events:        72604
  Overall average number of steps:   77.820    
