  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.3175             533  0.0000      0.0000     0.94032     0.22375      53.987    
rho and Delta         20.000      1.5873            1425  0.0000      0.0000     0.45305     0.36268      2486.2    
Res dec               6.0000      3.0564           32036  0.0000      0.0000     0.87488     0.29127      19.525    
VM + stable in vac.   12.090      4.7482            2422  0.0000      20.851     0.93197     0.24044      3.9736    
NN -> NR              6.0000      1.7520             139  0.0000      0.0000     0.57806     0.41071      47.942    
NN -> DR              36.000      1.2424               7  0.0000      0.0000     0.68666     0.35304      467.86    
KK* -> rho omega      70.000     0.80041               1  0.0000      0.0000     0.80041      0.0000      228.00    
Default               4.0000      4.3576           45948 0.65291E-02 0.32646E-01 0.93868     0.26736      11.782    

           Total number of events:        82511
  Overall average number of steps:   57.668    
