  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.0738             268  0.0000      0.0000     0.93283     0.21773      84.000    
rho and Delta         20.000      1.6092            1095  0.0000      0.0000     0.47941     0.36473      3866.8    
Res dec               6.0000      3.8413           24481  0.0000      0.0000     0.87345     0.28813      19.763    
VM + stable in vac.   13.092      3.2308            1887  0.0000      26.550     0.93911     0.21706      4.0763    
NN -> NR              6.0000      1.2561              74  0.0000      0.0000     0.59852     0.38576      41.635    
NN -> DR              36.000     0.98345               6  0.0000      0.0000     0.48811     0.29702      156.50    
KK* -> rho omega      70.000      1.0086               2  0.0000      0.0000     0.76371     0.24492      148.00    
Default               4.0000      4.5602           28988 0.34497E-02 0.20698E-01 0.93841     0.26088      10.547    

           Total number of events:        56801
  Overall average number of steps:   89.052    
