  ____desription____   ___max___  max_in_Run  num_Events failures[%]    large[%]  ___mean___   deviation   num_steps
Y^* decay             12.000      2.1424             421  0.0000      0.0000     0.95475     0.20630      47.810    
rho and Delta         20.000      1.6303            1278  0.0000      0.0000     0.47428     0.36221      2657.9    
Res dec               6.0000      3.4036           29367  0.0000      0.0000     0.87587     0.28919      19.412    
VM + stable in vac.   11.837      3.6213            2194  0.0000      24.157     0.94253     0.20608      4.2780    
NN -> NR              6.0000      1.2569              89  0.0000      0.0000     0.52420     0.37032      59.663    
NN -> DR              36.000      1.2556               8  0.0000      0.0000     0.85482     0.27312      81.125    
Default               4.0000      4.6915           41729 0.47928E-02 0.26361E-01 0.93871     0.26497      12.088    

           Total number of events:        75086
  Overall average number of steps:   60.021    
